TituloEs,TituloEn,DefinicionEs,DefinicionEn
Bíomasa acumulada,Accumulated biomass,"Cantidad de peso acumulado por todos los órganos de la planta.",Amount of weight accumulated by all plant organs.
Días a secado,Drying days,"Periodo de tiempo medido en días, desde la madurez fisiologica hasta la cosecha.","Period of time measured in days, from physiological maturity to harvest."
Días a cosecha,Days to harvest,"Los días a cosecha corresponden al numero de días entre la siembra de las semillas hasta la cosecha del cultivo.  Por ejemplo se calculan entre 100 y 150 días entre la siembra y la cosecha del maíz. Está información permite calcular la epoca de cosecha. En el caso del pronostico agro-climatico o de rendimiento, el rendimiento potencial esta calculado a partir de la fecha de siembra, asumiendo un numero de día estandar hasta la cosecha.","The days to harvest correspond to the number of days between the sowing of the seeds until the harvest of the crop. For example, between 100 and 150 days are calculated between sowing and harvesting corn. This information allows calculating the time of harvest. In the case of the agro-climatic or yield forecast, the potential yield is calculated from the planting date, assuming a standard number of days until harvest."
Evapotranspiración,Evapotranspiration,"La evapotranspiracion corresponde a la cantidad de agua del suelo que vuelve a la atmósfera como consecuencia de la evaporación del agua de un suelo humedo y de la transpiración de las plantas en crecimiento. La evapotranspiración se mide en milimetros por día (mm/día), y sirve para calcular la necesidad de riego en un cultivo. La evapotranspiración (llamada tambien necesidad hídrica de algun cultivo) depende de las condiciones climáticas de una zona geografica.","Evapotranspiration corresponds to the amount of soil water that returns to the atmosphere as a result of evaporation of water from moist soil and transpiration from growing plants. Evapotranspiration is measured in millimeters per day (mm/day), and is used to calculate the need for irrigation in a crop. Evapotranspiration (also called water needs of some crop) depends on the climatic conditions of a geographical area."
Intervalo de confianza,Confidence interval,"En el caso de un pronostico agroclimatico, el intervalo de confianza corresponde al rango de valor (por ejemplo, entre 5 kg/ha y 6kg/ha) dentro del cual hay más certeza que el pronostico sea acertado (ocurra).","In the case of an agroclimatic forecast, the confidence interval corresponds to the value range (for example, between 5 kg/ha and 6 kg/ha) within which there is more certainty that the forecast is correct (occurs)."
Precipitación,Precipitation,"La precipitación corresponde a la cantidad de agua que cae (lluvia, granizo) sobre la superficie del suelo. Se mide en milimetros ( 1 mm equivale a 1 litro de agua por cada metro cuadrado) mediante el total de agua recogido en un pluviómetro en 24 horas. Las cantidades diarias se suman por mes y por año, así se determina el promedio de las precipitaciones (lluvias, granizo) obtenidas a lo largo de un número considerable de años (más de 30 años, en general) de una zona.","Precipitation corresponds to the amount of water that falls (rain, hail) on the ground surface. It is measured in millimeters (1 mm equals 1 liter of water per square meter) by the total amount of water collected in a rain gauge in 24 hours. The daily amounts are added by month and by year, thus determining the average rainfall (rain, hail) obtained over a considerable number of years (more than 30 years, in general) in an area."
Precipitación acumulada,Accumulated precipitation,"Cantidad diaria de lluvia sumada a traves del tiempo, puede ser útil tener este valor por mes, por semestre de siembra o por año.","Daily amount of rain added over time, it may be useful to have this value per month, per sowing semester or per year."
Predicción Climática,Weather forecast,"Los modelos de predicción climática son herramientas esenciales para el estudio y avance en la predicción de la variabilidad climática. Las predicciones climáticas estacionales a 6 meses sobre la precipitación son realizadas con un modelo estadístico, el cual tiene como fundamento identificar los modos de variabilidad del sistema climático y la asociación de estos con variables océano-atmosféricas. Este producto es útil para tener una referencia del comportamiento más probable a ocurrir, pero es necesario aclarar que no considera eventos extremos puntuales y de corta duración que puedan tener lugar en algunas zonas puntuales del país. El pronóstico probabilístico está expresado en porcentaje y representa la probabilidad de que ocurra la condición de precipitación en tres categorías: 1. Precipitaciones por debajo de lo normal: esto indica que se van a presentar valores de precipitación inferiores a los registrados históricamente para el período de interés. 2.Precipitaciones normales: esto indica que se van a presentar valores de precipitación muy similares a lo registrado históricamente para el período de interés. 3. Precipitaciones por encima de lo normal: esto indica que se van a presentar valores de precipitación superiores a los registrados históricamente para el período de interés.","Climate prediction models are essential tools for the study and progress in the prediction of climate variability. The 6-month seasonal climate predictions on precipitation are made with a statistical model, which is based on identifying the modes of variability of the climate system and their association with ocean-atmospheric variables. This product is useful to have a reference of the most probable behavior to occur, but it is necessary to clarify that it does not consider specific and short-term extreme events that may take place in some specific areas of the country. The probabilistic forecast is expressed as a percentage and represents the probability of the precipitation condition occurring in three categories: 1. Precipitation below normal: this indicates that precipitation values ​​will be lower than those historically recorded for the period of interest. 2.Normal precipitation: this indicates that precipitation values ​​will be very similar to those historically recorded for the period of interest. 3. Precipitation above normal: this indicates that precipitation values ​​will be higher than those historically recorded for the period of interest."
Promedio histórico climático,Historical climatic average,"Para conocer el comportamiento pasado del clima en una zona y al mismo tiempo ser capaz de predecir su comportamiento a futuro, conocer el promedio historico del clima es importante. El promedio historico climatioco corresponde al promedio de las variables de clima (precipitación, temperatura, viento, humedad...) medido durante muchos años (en general, más de 30 años). Esto permite conocer el comportamientó 'normal' (o promedio) del clima de una zona especifica y de un mes especifico. El comportamiento 'normal' constituye la referencia sobre la cual el pronostico climatico se basa para decir que hay más o menos probabilidad para que el clima sea por encima/ por debajo/ o dentro de los ramgos normales.","To know the past behavior of the climate in an area and at the same time be able to predict its behavior in the future, knowing the historical average of the climate is important. The historical climatic average corresponds to the average of the climate variables (precipitation, temperature, wind, humidity...) measured over many years (in general, more than 30 years). This allows knowing the 'normal' (or average) behavior of the climate of a specific zone and a specific month. The 'normal' behavior constitutes the reference on which the climatic forecast is based to say that there is more or less probability for the climate to be above/below/or within the normal ranges."
Pronóstico agroclimático,Agroclimatic forecast,"El pronostico agroclimatico da información sobre la fecha óptima de siembra y variedad de mejor desempaño de acuerdo a las condiciones climaticas esperadas en una zona especifica. El pronotico agroclimatico se caulcula a partir de un pronóstico climático y con la simulación de desarrollo de un cultivo (calibrado y validado) segun el pronostico climatico. La información proporcionada por el pronostico agroclimatico puede ser valiosa para apoyar la toma de decisiones agronómicas tales como qué sembrar (qué variedad sembrar para obtener mayor rendimiento) y cuando sembrar (qué fecha de siembra es óptima para obtener mayor rendimiento).","The agroclimatic forecast provides information on the optimum sowing date and variety with the best performance according to the expected climatic conditions in a specific area. The agroclimatic forecast is calculated from a climate forecast and with the simulation of crop development (calibrated and validated) according to the climate forecast. The information provided by the agroclimatic forecast can be valuable to support agronomic decision-making such as what to plant (which variety to plant to obtain higher yields) and when to sow (what optimal planting date to obtain higher yields)."
Radiación solar,Solar radiation,"La radiación solar es aprovechada por las plantas para realizar la fotosíntesis. La producción potencial final de un cultivo (expresada como materia seca total) depende en parte de la cantidad del nivel de captación por la planta. Para obtener altas tasas de fotosíntesis y mayores rendimientos es necesario maximizar la intercepción de la luz.","Solar radiation is used by plants to carry out photosynthesis. The final potential production of a crop (expressed as total dry matter) depends in part on the amount of the level of uptake by the plant. To obtain high rates of photosynthesis and higher yields it is necessary to maximize light interception."
Rendimiento,Performance,"El rendimiento corresponde a la producción total de un cultivo cosechado y se mide usualmente en toneladas por hectárea (T.M./ha.). Una misma variedad puede generar rendimientos diferentes de una localidad geográfica a otra al variar las condiciones climáticas, aunque los demás factores ambientales sean iguales. Sin embargo, con condiciones climáticas iguales, el rendimiento puede variar de acuerdo con las características del suelo o el manejo dado.","Yield corresponds to the total production of a harvested crop and is usually measured in tons per hectare (MT/ha). The same variety can generate different yields from one geographical location to another when climatic conditions vary, although other environmental factors are the same. However, with equal climatic conditions, the yield may vary according to the characteristics of the soil or the management given."
Rendimiento potencial,Potential return,"Máximo rendimiento que una variedad, híbrido o cultivar puede producir en condiciones ideales.","Maximum yield that a variety, hybrid, or cultivar can produce under ideal conditions."
Temperatura máxima,Maximum temperature,"La temperatura es registrada por los termómetros, y medida en grados centrigrados. Así, la temperarura máxima es el valor más alto (maximo calor) regristrado en un intervalo de tiempo dado. En un día, normalmente corresponde al medio día.","The temperature is recorded by thermometers, and measured in degrees Celsius. Thus, the maximum temperature is the highest value (maximum heat) recorded in a given time interval. In a day, it normally corresponds to noon."
Temperatura máxima acumulada,Maximum accumulated temperature,"Cantidad de calor, medido en grados centígrados de los valores mas altos, a traves de varios días o meses.","Amount of heat, measured in degrees Celsius of the highest values, over several days or months."
Temperatura mínima,Minimum temperature,"La temperatura es registrada por los termómetros, y medida en grados centrigrados. Así, la temperarura mínima corresponde con el valor mas bajo registrado en un intervalo de tiempo dado. en un día normalmente corresponde a las horas de la madrugada.","The temperature is recorded by thermometers, and measured in degrees Celsius. Thus, the minimum temperature corresponds to the lowest value recorded in a given time interval. in a day it normally corresponds to the hours of the morning."
Temperatura mínima acumulada,Accumulated minimum temperature,"Cantidad de calor, medido en grados centígrados de los valores mas bajos, a traves de varios días o meses.","Amount of heat, measured in degrees Celsius of the lowest values, over several days or months."